Area,latitude,longitude
A'Ali,26.1590446,50.5183259
"Abraj Al Lulu, Manama",26.2299601,50.5591794
"Address Marassi Vista, Diyar Al Muharraq",26.3063612,50.6469291
"Adhari, Manama",26.1982585,50.5458855
"Adliya, Manama",26.2144884,50.58475439999999
"Al Areen Development, Zallaq",26.0152969,50.494425
"Al Bahair, Riffa",26.1427398,50.5675161
"Al Burhama, Manama",26.2167278,50.5536773
Al Dair,26.286528,50.6236227
Al Hajar,26.2155773,50.51226519999999
Al Jasra,26.1648431,50.4514846
Al Juffair,26.212971,50.6028899
Al Maqsha,26.2213664,50.5148527
Al Markh,26.2013069,50.4799312
"Al Marsa Floating City, Amwaj Islands",26.2848091,50.6696479
"Al Naseem, Diyar Al Muharraq",26.3083204,50.6320756
"Al Noor, Diyar Al Muharraq",26.2993698,50.6359405
Al Qadam,26.2141825,50.52036630000001
Al Qurayyah,26.2011779,50.4644169
"Al Sherooq, Diyar Al Muharraq",26.3083204,50.6320756
"Al Sidra, Diyar Al Muharraq",26.3112735,50.6388816
"Al Thurya villa Diyar Al Muharraq, Diyar Al Muharraq",26.3083204,50.6320756
"Alhajiyat, Riffa",26.1262367,50.5834593
"Amwaj Avenue, Amwaj Islands",26.291111,50.665278
"Amwaj Beachfront, Amwaj Islands",26.2935106,50.6587049
"Amwaj Homes, Amwaj Islands",26.2935106,50.6587049
Amwaj Islands,26.291111,50.665278
"Amwaj Marina, Amwaj Islands",26.2935106,50.6587049
Arad,26.2533564,50.6395217
Askar,26.0563079,50.6158471
Bahrain Bay,26.247802,50.5787523
"Bahrain Financial Harbour, Manama",26.2380909,50.5709105
Bani Jamra,26.2110619,50.4644169
Barbar,26.2292963,50.4805913
"Bilad Al Qadeem, Manama",26.2073004,50.55569879999999
"Breeze of Dilmunia, Dilmunia Island",26.2696746,50.6783327
Bu Ashira,26.2103272,50.5795738
"Bu Ghazal, Manama",26.2077961,50.5718038
"Bu Kowarah, Riffa",26.131082,50.5679191
Bu Quwah,26.1955056,50.5140649
Budaiya,26.2109291,50.4489065
Buri,26.1523545,50.4973652
Busaiteen,26.2721664,50.6091325
"Canal View, Dilmunia Island",26.2701704,50.6689113
"Dareena, Dilmunia Island",26.2728678,50.67289040000001
"Deerat Al Oyoun, Diyar Al Muharraq",26.3132315,50.62652139999999
Dilmunia Island,26.2728678,50.67289040000001
"Diplomatic Area, Manama",26.2400699,50.5873449
Diraz,26.2209456,50.4644169
Diyar Al Muharraq,26.3083204,50.6320756
Durrat Al Bahrain,25.8334352,50.6139033
"Durrat Marina, Durrat Al Bahrain",25.8334352,50.6139033
Eker,26.1436853,50.6028899
"Essence of Dilmunia, Dilmunia Island",26.2751875,50.6722344
"Exhibition Road, Hoora",26.2275361,50.5371351
Galali,26.2728212,50.6569879
"Ghuraifah (Old Juffair), Manama",26.2059628,50.6032138
"Gudaibiya, Manama",26.2186782,50.5938215
"Gufool, Manama",26.2234222,50.5666242
Hamad Town,26.1163407,50.5027214
Hamala,26.1439621,50.483145
"Hanging Garden, Dilmunia Island",26.2690137,50.6743687
Hidd,26.2340617,50.652032
Hoora,26.2335219,50.5938215
