name,category,major,latitude,longitude,address,rating,user_ratings_total,verified,verification_note,place_id
Bahrain International Airport,airport,,26.2671847,50.6302827,"Rd 2404, Muharraq",4.6,16651,True,reverse geocode country=BH | 0.52 km from reference (Bahrain International Airport) OK,ChIJk3ndPzSmST4Rlhp6z7trwvQ
Manama CBD,cbd,,26.2339813,50.5756748,"ROAD 475, 304 Bab Al Bahrain Ave, المنامة",4.4,20902,True,reverse geocode country=BH | 0.27 km from reference (Manama CBD) OK,ChIJm9s4CWCvST4RBKXkMkq9pGY
King Fahd Causeway,causeway,,26.1749453,50.3888334,King Fahd Cswy,,,True,on King Fahd Causeway corridor (Bahrain->Saudi span),ChIJ_zNw49W5ST4R9ZxzJmJDi1k
Al Aali Mall,mall,True,26.2329642,50.5404736,"Rd No 2819, Seef",4.2,7154,True,reverse geocode country=BH,ChIJEboi92WlST4RuccwR9eDu-o
Al Enma Mall,mall,True,26.1295765,50.5751421,"Building 493 16 Um Al Nassan، Avenue, Block 925، Riffa 925",4.2,5828,True,reverse geocode country=BH,ChIJ10vja0KsST4RXPTGIURJRq4
Bahrain Mall,mall,True,26.2294977,50.537537,"Avenue 28 Building 184 ,Block 410 Sanabis , Manama , Bahrain, السنابس",4.1,9005,True,reverse geocode country=BH,ChIJy6kK7GalST4RmABK1QdH9jw
City Centre Bahrain,mall,True,26.2333324,50.5532777,"Building 2758, Road، 4650، Shaikh Khalifa Bin Salman Hwy, Sanabis",4.6,43612,True,reverse geocode country=BH,ChIJ06ZPjnilST4RjLa3InsuoVk
Dana Mall,mall,True,26.2303218,50.5527064,Sanabis,4,8178,True,reverse geocode country=BH,ChIJF-oYAX-lST4REdtUt7epkBg
Dragon City Bahrain,mall,True,26.3057556,50.6251184,"263، Dragon City, 4441 Road 6347، Muharraq 317",4,33308,True,reverse geocode country=BH,ChIJnar71uimST4R4Q53769YOus
Galleria Mall,mall,True,26.2042418,50.5745097,"6H3F+MRR, Zinj",4.2,5006,True,reverse geocode country=BH,ChIJySbLAxivST4Rl21Qe6CbmIY
Juffair Mall,mall,True,26.217472,50.6077336,"Awal Ave, Manama",4.1,8162,True,reverse geocode country=BH,ChIJPzrqIcyoST4Rl6_fU-FyCQc
Mall of Dilmunia,mall,True,26.2697507,50.6719033,"Dilmunia Island, Galali",4.2,9648,True,reverse geocode country=BH,ChIJxSIYxICnST4R-oLWZi-Dr4A
Marassi Galleria Mall,mall,True,26.301717,50.6428134,Marassi Al Bahrain,4.7,5244,True,reverse geocode country=BH,ChIJmxxLL-emST4R9T3SZXI5ky8
Moda Mall,mall,True,26.2396469,50.5812683,Bahrain World Trade Center Gate 2، Manama,4.4,5709,True,reverse geocode country=BH,ChIJvQkfhvalST4R40dNKXj31oc
