category,latitude,longitude
school_all,26.2135226,50.6080377
food,26.2112179,50.6061918
supermarket,26.2164273,50.4797878
supermarket,26.3308844,50.1621753
supermarket,26.2891622,50.2190277
supermarket,26.2947618,50.1992597
food,26.2819849,50.2160144
food,26.2167083,50.4791628
supermarket,26.3283564,50.2135758
school_all,26.2508119,50.6561393
food,26.2552773,50.6319916
food,26.2115858,50.6075606
healthcare,26.253961,50.6449363
supermarket,26.221202,50.4890426
food,26.2336188,50.5952286
beach,26.2297967,50.6005217
food,26.229328,50.5999592
supermarket,26.2313604,50.5283995
food,26.2353282,50.5335039
food,26.233558,50.5412402
food,26.2331709,50.5412184
food,26.2322294,50.532047
food,26.2325112,50.5412511
food,26.2323496,50.5335404
food,26.2328165,50.5412402
supermarket,26.2321962,50.5319662
food,26.2217388,50.4897329
food,26.2443166,50.538389
supermarket,26.2179727,50.5610278
healthcare,26.2171501,50.5717556
healthcare,26.2175185,50.5672168
school_all,26.2311522,50.4985221
school_all,26.2779648,50.6117366
food,26.2721336,50.6076657
supermarket,26.2725179,50.6034634
food,26.2721437,50.607757
supermarket,26.2721784,50.607945
school_all,26.2218128,50.5324223
food,26.2279336,50.5386018
food,26.2189251,50.5892404
food,26.2191458,50.5892319
food,26.2187425,50.5889135
supermarket,26.2158993,50.5897521
food,26.2191797,50.588608
food,26.2186662,50.5877973
food,26.215259,50.5922599
food,26.2157083,50.5909855
food,26.215253,50.5914992
food,26.2155118,50.5919912
food,26.2151268,50.5920195
food,26.2148138,50.5913578
food,26.2152457,50.5912664
food,26.2153491,50.5918336
food,26.2151691,50.5925198
food,26.2151029,50.5919246
food,26.2145139,50.5928363
food,26.2147488,50.5905525
food,26.2153259,50.5916517
food,26.2131406,50.5928612
food,26.2156952,50.5916996
food,26.214818,50.5927131
food,26.2155925,50.5913973
food,26.2146601,50.5927571
supermarket,26.2185616,50.5848693
food,26.2131941,50.5853047
supermarket,26.2153015,50.5877655
food,26.2125368,50.5857869
food,26.2191201,50.5861813
food,26.2148301,50.5873247
supermarket,26.2214449,50.5649531
supermarket,26.2229451,50.5644479
supermarket,26.2142349,50.5840645
food,26.2084426,50.5912353
supermarket,26.2364099,50.5898873
supermarket,26.2334589,50.5910096
supermarket,26.2336577,50.5938367
food,26.2336775,50.5954675
supermarket,26.2356193,50.5923611
food,26.2338781,50.5950678
food,26.2408266,50.5902277
supermarket,26.2347839,50.5918835
food,26.2338165,50.593682
food,26.2344946,50.5758051
food,26.2347157,50.5958437
food,26.234512,50.5913066
food,26.233416,50.5949544
food,26.2341004,50.5949368
food,26.2375213,50.5917446
food,26.2332846,50.5890622
supermarket,26.2352945,50.590659
supermarket,26.2367832,50.591033
food,26.2320126,50.5903316
food,26.233507,50.5950259
food,26.2350521,50.5956498
food,26.241289,50.5899713
supermarket,26.2366373,50.5940541
food,26.2085981,50.5919617
school_all,26.2116273,50.590446
supermarket,26.2426408,50.5881031
food,26.2132479,50.5862719
supermarket,26.209121,50.5907248
food,26.2130062,50.5900655
food,26.2355112,50.5764172
food,26.2071589,50.5922831
food,26.2134626,50.5863148
supermarket,26.2127096,50.5871454
food,26.2362092,50.5760583
food,26.2364502,50.5758685
food,26.2140955,50.5872753
food,26.2121089,50.5873069
food,26.2181907,50.5198785
school_all,26.328366,50.191436
school_all,26.3283645,50.1916357
food,26.2394321,50.5805869
supermarket,26.2187532,50.5123039
food,26.2399069,50.5814832
supermarket,26.2108273,50.6009382
food,26.2142828,50.6001796
school_all,26.2101197,50.6034658
food,26.2112587,50.6061417
food,26.2112305,50.6074334
food,26.2112392,50.6075694
food,26.2098405,50.6037128
supermarket,26.2114474,50.6063592
food,26.2173355,50.608587
healthcare,26.2173529,50.6082247
food,26.2144873,50.6001518
food,26.2098855,50.6040925
school_all,26.2060035,50.5999984
food,26.2117516,50.6078536
supermarket,26.2134358,50.5973781
food,26.2114935,50.6078206
food,26.2140639,50.6001941
food,26.2315028,50.5954428
supermarket,26.2331483,50.5960961
supermarket,26.2335346,50.5971814
supermarket,26.2255081,50.5962928
food,26.2291035,50.5958513
supermarket,26.2290636,50.5956309
food,26.2158502,50.6018711
supermarket,26.2291409,50.596264
food,26.2161761,50.6018089
school_all,26.2258864,50.5966827
food,26.2314031,50.5951749
food,26.2294644,50.59506
supermarket,26.2307259,50.5979981
food,26.2310527,50.5970776
food,26.2334545,50.5964292
food,26.23294,50.5969842
supermarket,26.2157735,50.6015581
supermarket,26.2254047,50.5901377
supermarket,26.2243151,50.5886834
food,26.2262129,50.5914831
food,26.217227,50.5906926
supermarket,26.2264333,50.5934978
supermarket,26.2247715,50.5911066
supermarket,26.2255645,50.5909572
supermarket,26.2282744,50.5890453
supermarket,26.2286788,50.5944116
food,26.2245094,50.5967259
