iter	MAE
0	0.4322806675
1	0.4205179966
2	0.4094343864
3	0.3991017194
4	0.3888178809
5	0.3791401793
6	0.3695980103
7	0.3603699566
8	0.3519366965
9	0.3438448036
10	0.3357989337
11	0.32830645
12	0.3210537593
13	0.3139002391
14	0.3074956179
15	0.301375053
16	0.2952814261
17	0.2893924258
18	0.2838429017
19	0.2784823865
20	0.2735155764
21	0.2686697192
22	0.2643667245
23	0.2596487407
24	0.2551677833
25	0.2508189669
26	0.2465138647
27	0.2429050155
28	0.2392483974
29	0.2356089846
30	0.2324581106
31	0.2294497252
32	0.2264989475
33	0.2234865569
34	0.2211169978
35	0.2185900982
36	0.2161951379
37	0.2137178054
38	0.2113699109
39	0.2091242485
40	0.2071286863
41	0.2051666072
42	0.2034634516
43	0.201738558
44	0.2002821612
45	0.1985903899
46	0.1969894458
47	0.1954113798
48	0.193819022
49	0.1924184114
50	0.1908796518
51	0.1894010501
52	0.1881528635
53	0.1869387588
54	0.1857124815
55	0.1845801218
56	0.1835282175
57	0.1823694302
58	0.1813035282
59	0.18027507
60	0.1793234063
61	0.1783903036
62	0.1774707653
63	0.1766446948
64	0.175905807
65	0.1750796747
66	0.1744356214
67	0.173605868
68	0.1728922145
69	0.172096175
70	0.1713409972
71	0.1707155845
72	0.1700856599
73	0.1693875164
74	0.1688406327
75	0.1681547849
76	0.167593597
77	0.1670387057
78	0.1663411035
79	0.1657887217
80	0.1652886659
81	0.1648067956
82	0.1643342016
83	0.1637316844
84	0.1632575074
85	0.1627197148
86	0.1622898542
87	0.1618999885
88	0.1614782226
89	0.161059283
90	0.1605703835
91	0.1600123135
92	0.1595982586
93	0.1592567343
94	0.1588343308
95	0.1584625618
96	0.1581175073
97	0.1576429133
98	0.1573297142
99	0.1569318583
100	0.1565890782
101	0.1562895018
102	0.1559497191
103	0.1556401143
104	0.1552764682
105	0.1550113946
106	0.1547175451
107	0.1544195029
108	0.1541857516
109	0.1538627222
110	0.1535675363
111	0.1532863263
112	0.1529158824
113	0.1525775576
114	0.1522491496
115	0.1519497054
116	0.1516545725
117	0.1514185017
118	0.1511575935
119	0.1509814879
120	0.1507455907
121	0.1505021332
122	0.1502980171
123	0.1499794609
124	0.1497643437
125	0.1494395648
126	0.1491761676
127	0.1489466805
128	0.1487377367
129	0.1485081992
130	0.1483207668
131	0.1481338568
132	0.1479696658
133	0.147811115
134	0.147603057
135	0.1473863562
136	0.1471466954
137	0.1468420943
138	0.1467236867
139	0.1465110739
140	0.1462646117
141	0.1459418855
142	0.1457649796
143	0.1455292898
144	0.1452597271
145	0.1450918143
146	0.1449159777
147	0.144626601
148	0.1444315027
149	0.1442090501
150	0.1440820675
151	0.1438123198
152	0.1436764359
153	0.143467199
154	0.1432863109
155	0.143096533
156	0.1429510433
157	0.1426930842
158	0.1425258734
159	0.1423288496
160	0.1421553075
161	0.1419656462
162	0.1417963731
163	0.1417021636
164	0.1415752655
165	0.1414272962
166	0.1412207145
167	0.1410541871
168	0.1408840973
169	0.1406766945
170	0.1405422241
171	0.1404081651
172	0.1402585789
173	0.1400713623
174	0.1399026978
175	0.1397661104
176	0.1395609445
177	0.1394326015
178	0.1392890354
179	0.139140382
180	0.1390356686
181	0.1389204193
182	0.1387242595
183	0.1385835745
184	0.1384274703
185	0.1382185357
186	0.1381055206
187	0.1379503048
188	0.1377494658
189	0.1376217496
190	0.1374777106
191	0.1373247735
192	0.1371667599
193	0.1370361957
194	0.1369121816
195	0.1368186614
196	0.1366586907
197	0.1364833259
198	0.136350687
199	0.136197005
200	0.1360367065
201	0.135840243
202	0.1357561217
203	0.1355311102
204	0.1354130112
205	0.1353353418
206	0.1352060796
207	0.1350697808
208	0.1349412742
209	0.1348595115
210	0.1347265779
211	0.1346161927
212	0.1344855532
213	0.1343731088
214	0.1342121518
215	0.1340810785
216	0.1339482288
217	0.1338333089
218	0.1337314455
219	0.1336175976
220	0.1335040993
221	0.1333733165
222	0.1332532161
223	0.1330604787
224	0.132984793
225	0.1328871207
226	0.1328087067
227	0.132746249
228	0.1326056829
229	0.1324756448
230	0.1323775209
231	0.1323086928
232	0.1322157048
