iter	Passed	Remaining
0	37	111841
1	66	99108
2	92	92030
3	120	90359
4	139	83752
5	159	79776
6	179	76555
7	195	73135
8	211	70371
9	229	68643
10	246	66855
11	263	65660
12	281	64622
13	298	63728
14	316	63046
15	336	62801
16	354	62148
17	372	61770
18	390	61302
19	408	60800
20	427	60678
21	444	60214
22	464	60059
23	480	59625
24	499	59434
25	515	59017
26	534	58888
27	552	58616
28	572	58664
29	591	58585
30	610	58465
31	627	58238
32	645	58062
33	663	57917
34	683	57861
35	701	57779
36	719	57633
37	740	57695
38	759	57679
39	778	57593
40	795	57443
41	814	57363
42	832	57234
43	852	57246
44	870	57186
45	889	57103
46	909	57146
47	931	57269
48	950	57270
49	970	57255
50	991	57335
51	1012	57425
52	1033	57484
53	1053	57453
54	1072	57436
55	1092	57447
56	1111	57391
57	1132	57435
58	1152	57468
59	1173	57506
60	1193	57490
61	1212	57467
62	1233	57496
63	1253	57501
64	1273	57508
65	1293	57505
66	1314	57555
67	1335	57563
68	1355	57575
69	1374	57519
70	1394	57530
71	1414	57504
72	1434	57514
73	1455	57535
74	1475	57552
75	1495	57546
76	1518	57632
77	1540	57695
78	1563	57805
79	1584	57818
80	1603	57796
81	1625	57827
82	1646	57854
83	1668	57937
84	1687	57870
85	1706	57827
86	1725	57779
87	1745	57760
88	1765	57754
89	1785	57717
90	1804	57676
91	1823	57650
92	1845	57701
93	1866	57702
94	1887	57711
95	1908	57738
96	1927	57686
97	1947	57679
98	1967	57662
99	1988	57675
100	2008	57647
101	2027	57595
102	2049	57632
103	2072	57719
104	2096	57812
105	2123	57965
106	2146	58036
107	2171	58140
108	2190	58097
109	2208	58025
110	2229	58014
111	2249	58004
112	2269	57990
113	2292	58035
114	2313	58039
115	2333	58004
116	2351	57948
117	2372	57934
118	2394	57967
119	2415	57979
120	2436	57965
121	2460	58033
122	2482	58072
123	2504	58093
124	2526	58103
125	2549	58163
126	2570	58141
127	2587	58066
128	2608	58055
129	2626	57979
130	2646	57960
131	2664	57902
132	2685	57897
133	2709	57944
134	2730	57952
135	2752	57965
136	2774	57979
137	2796	57987
138	2815	57959
139	2839	57999
140	2862	58045
141	2884	58057
142	2906	58061
143	2927	58062
144	2948	58062
145	2968	58021
146	2987	57986
147	3009	57991
148	3034	58068
149	3055	58052
150	3077	58062
151	3099	58082
152	3120	58074
153	3143	58087
154	3162	58050
155	3181	57993
156	3199	57940
157	3219	57914
158	3238	57870
159	3257	57821
160	3275	57753
161	3294	57721
162	3316	57716
163	3339	57748
164	3361	57758
165	3382	57745
166	3403	57739
167	3426	57763
168	3449	57776
169	3470	57771
170	3495	57821
171	3516	57813
172	3534	57764
173	3554	57731
174	3574	57697
175	3597	57720
176	3623	57784
177	3645	57792
178	3668	57816
179	3689	57803
180	3706	57734
181	3725	57685
182	3743	57623
183	3760	57549
184	3778	57496
185	3796	57441
186	3814	57381
187	3831	57315
188	3848	57241
189	3868	57205
190	3885	57147
191	3905	57120
192	3928	57131
193	3949	57122
194	3971	57121
195	3991	57105
196	4013	57102
197	4037	57137
198	4059	57132
199	4084	57177
200	4110	57244
201	4136	57296
202	4159	57307
203	4180	57295
204	4202	57294
205	4229	57358
206	4254	57404
207	4278	57427
208	4303	57469
209	4334	57588
210	4360	57638
211	4382	57630
212	4401	57587
213	4425	57612
214	4445	57578
215	4462	57520
216	4481	57478
217	4501	57451
218	4521	57421
219	4544	57422
220	4564	57402
221	4586	57396
222	4612	57436
223	4635	57443
224	4659	57471
225	4683	57491
226	4704	57470
227	4728	57483
228	4761	57612
229	4785	57638
230	4806	57620
231	4833	57673
232	4856	57668
233	4880	57691
234	4904	57709
235	4927	57706
236	4950	57711
237	4972	57708
238	4992	57670
239	5010	57622
240	5030	57592
241	5050	57559
242	5070	57525
243	5090	57493
244	5110	57467
245	5130	57441
246	5153	57438
247	5179	57478
248	5204	57497
249	5223	57459
250	5247	57466
251	5271	57484
252	5291	57453
253	5312	57434
254	5333	57417
255	5357	57422
256	5381	57435
257	5405	57452
258	5428	57447
259	5452	57458
260	5473	57438
261	5499	57474
262	5520	57452
263	5540	57417
264	5561	57398
265	5580	57361
266	5605	57373
267	5628	57375
268	5653	57394
269	5681	57443
270	5708	57486
271	5732	57493
272	5752	57466
273	5772	57430
274	5793	57407
275	5815	57396
276	5836	57373
277	5856	57343
278	5877	57319
279	5902	57337
280	5927	57359
281	5950	57348
282	5977	57384
283	5996	57350
284	6020	57355
285	6043	57353
286	6065	57339
287	6086	57318
288	6109	57307
289	6130	57286
290	6151	57264
291	6172	57241
292	6192	57216
293	6213	57191
294	6233	57161
295	6253	57130
296	6273	57095
297	6292	57052
298	6311	57018
299	6330	56978
300	6349	56933
301	6367	56888
302	6386	56848
303	6406	56811
304	6425	56778
305	6447	56764
306	6468	56740
307	6488	56713
308	6510	56696
309	6532	56683
310	6554	56672
311	6576	56655
312	6598	56646
313	6619	56628
314	6641	56613
315	6664	56603
316	6685	56580
317	6706	56562
318	6729	56558
319	6750	56534
320	6771	56509
321	6792	56490
322	6813	56467
323	6836	56462
324	6858	56449
325	6878	56419
326	6898	56388
327	6919	56366
328	6939	56340
329	6961	56321
330	6983	56311
331	7007	56310
332	7031	56311
333	7053	56299
334	7072	56266
335	7095	56255
336	7114	56220
337	7135	56194
338	7153	56153
339	7173	56124
340	7192	56083
341	7211	56045
342	7231	56016
343	7249	55970
344	7268	55935
345	7288	55906
346	7309	55883
347	7328	55848
348	7347	55814
349	7369	55794
350	7390	55775
351	7412	55760
352	7434	55746
353	7456	55731
354	7479	55726
355	7501	55714
356	7523	55700
357	7543	55671
358	7562	55636
359	7583	55614
360	7607	55615
361	7630	55603
362	7651	55585
363	7673	55570
364	7694	55549
365	7718	55550
