tower,latitude,longitude
Ambassador Residence,26.2144884,50.58475439999999
Bannai Tower,26.2274419,50.5416413
Catamaran Tower,26.2355225,50.55249120000001
Elite Residence,26.2396174,50.5382124
Era View Tower,26.2335219,50.5938215
Fontana (generic),26.212971,50.6028899
Fontana Gardens,26.2237714,50.60801319999999
Fontana Infinity,26.2238522,50.61082409999999
Fontana Suites,26.2208434,50.6109392
Fontana Towers,26.2234128,50.60693879999999
Hala Plaza,26.2108773,50.5723668
Harbour Heights,26.2374887,50.5732606
Juffair Heights,26.2127898,50.6063719
Marassi Park,26.3073716,50.6459343
Marassi Residences,26.3054646,50.6427643
Marassi Shores,26.3052603,50.6461086
Onyx Residence,26.247802,50.5787523
Orchid Residence,26.2201513,50.6133439
Reef Residence,26.0667,50.5577
Silver Tower,26.2299601,50.5591794
Star Residence,26.3014767,50.6433514
Sukoon Tower,26.2235849,50.6090442
The Address Residences,26.3014767,50.6433514
Ventura Tower,26.2317948,50.5659198
